dateTime;country;total_cases;new_cases;total_deaths;new_deaths;total_recovered;active_cases;critical_cases;cases_per_million;deaths_per_million
2020-03-31T21:31:53.987280;Peru;1065;115;30;6;394;641;49;32;9
2020-03-31T21:31:53.987280;Argentina;966;146;26;3;240;700;0;21;6
2020-03-31T21:31:53.987280;Singapore;926;47;3;0;240;683;22;158;5
2020-03-31T21:31:53.987280;Colombia;906;108;16;2;31;859;35;18;3
2020-03-31T21:31:53.987280;Serbia;900;115;23;7;42;835;62;103;3
2020-03-31T21:31:53.987280;Croatia;867;77;6;0;67;794;32;211;1
2020-03-31T21:31:53.987280;Slovenia;802;46;15;4;10;777;24;386;7
2020-03-31T21:31:53.987280;Qatar;781;88;2;1;62;717;6;271;7
2020-03-31T21:31:53.987280;Estonia;745;30;4;1;26;715;13;562;3
2020-03-31T21:31:53.987280;Algeria;716;132;44;9;46;626;0;16;1
2020-03-31T21:31:53.987280;Hong Kong;714;31;4;0;128;582;5;95;5
2020-03-31T21:31:53.987280;Diamond Princess;712;0;10;0;603;99;15;0;0
2020-03-31T21:31:53.987280;Egypt;710;54;46;5;157;507;0;7;4
2020-03-31T21:31:53.987280;Iraq;694;64;50;4;170;474;0;17;1
2020-03-31T21:31:53.987280;UAE;664;53;6;1;61;597;2;67;6
2020-03-31T21:31:53.987280;New Zealand;647;58;1;0;74;572;2;134;2
2020-03-31T21:31:53.987280;Ukraine;645;97;17;4;10;618;0;15;4
2020-03-31T21:31:53.987280;Morocco;602;46;36;3;24;542;1;16;10
2020-03-31T21:31:53.987280;Bahrain;567;52;4;0;295;268;2;333;2
2020-03-31T21:31:53.987280;Lithuania;537;46;8;1;7;522;27;197;3
2020-03-31T21:31:53.987280;Armenia;532;50;3;0;30;499;30;180;1
2020-04-01T11:03:10.244107;USA;188639;109;4059;6;7251;177329;4576;570;12
2020-04-01T11:03:10.244107;Italy;105792;0;12428;0;15729;77635;4023;1750;206
2020-04-01T11:03:10.244107;Spain;102136;6213;9053;589;22647;70436;5872;2185;194
2020-04-01T11:03:10.244107;Germany;72383;575;788;13;16100;55495;2675;864;9
2020-04-01T11:03:10.244107;France;52128;0;3523;0;9444;39161;5565;799;54
2020-04-01T11:03:10.244107;Iran;47593;2988;3036;138;15473;29084;3871;567;36
2020-04-01T11:03:10.244107;UK;25150;0;1789;0;135;23226;163;370;26
2020-04-01T11:03:10.244107;Switzerland;16605;0;433;0;2967;13205;301;1919;50
2020-04-01T11:03:10.244107;Belgium;13964;1189;828;123;2132;11004;1088;1205;71
2020-04-01T11:03:10.244107;Turkey;13531;0;214;0;243;13074;847;160;3
